year,pm,election,polling_date,campaign_days,winner,turnout_pct,registered,gdp_real,inflation_pct,opr_pct,unemployment_pct,klse_dec
1999,Mahathir,GE10,29 Nov 1999,9,BN,71.19,"9,546,303",531642.4492279574,2.857142857142869,,,765.58
2000,Mahathir,,,,,,,578739.9529634219,1.7045454545454364,,,716.88
2001,Mahathir,,,,,,,581735.9468389092,1.4069935857645488,,,667.3
2002,Mahathir,,,,,,,613097.2637588464,1.7955519281779075,,,635.85
2003,Mahathir,,,,,,,648586.3944627884,1.0924032872319245,,,785.45
2004,Abdullah,GE11,21 Mar 2004,8,BN,72.95,"9,755,097",692582.8486971786,1.4077525527907087,,,906.65
2005,Abdullah,,,,,,,729512.3298442409,2.9719425163750035,,,894.21
2006,Abdullah,,,,,,,772180.4789349193,3.6172030760467155,,,1084.87
2007,Abdullah,,,,,,,822219.260112772,2.0432472054242368,,,1419.96
2008,Abdullah,GE12,8 Mar 2008,13,BN,75.38,"10,740,228",861746.8931301754,5.423363562898431,,,859.51
2009,Najib,,,,,,,847648.6715437366,0.5962013457116111,,,1266.07
2010,Najib,,,,,,,908628.9197855636,1.6171365676064697,,3.2,1508.16
2011,Najib,,,,,,,956730.9428401182,3.182802866188972,,3.1,1483.1
2012,Najib,,,,,,,1009097.1727399864,1.6553617571059442,,3.1,1648.97
2013,Najib,GE13,5 May 2013,15,BN,84.60,"13,268,002",1056461.3939875828,2.105012312336152,,3.1,1840.59
2014,Najib,,,,,,,1119920.0924334445,3.1429905087910326,,3.1,1741.47
2015,Najib,,,,,,,1176941.0,2.1043898023834773,,3.4,1659.77
2016,Najib,,,,,,,1229312.0,2.075792273029453,,3.5,1632.97
2017,Najib,,,,,,,1300769.0,3.7993920972644313,,3.3,1743.38
2018,Najib,GE14,9 May 2018,11,BN/PH,82.32,"14,940,624",1363766.0,0.9691138534476895,,3.3,1672.36
2019,Mahathir (2nd),,,,,,,1423952.0,0.6628918657644034,,3.3,1582.88
2020,Mahathir (2nd),,,,,,,1346249.0,-1.1387021539305708,,4.8,1643.42
2021,Muhyiddin,,,,,,,1390882.0,2.477102414654442,,4.2,1507.26
2022,Ismail Sabri / Anwar,GE15,19 Nov 2022,14,PH,74.13,"21,173,638",1516502.754,3.3786986254993545,3.462777777777778,3.6,1475.79
2023,Anwar,,,,,,,1570142.424,2.4888656012575394,3.7127777777777786,3.3,1453.52
2024,Anwar,,,,,,,1650305.405,1.8341002044989674,3.7127777777777786,3.1,1609.34
2025,Anwar,,,,,,,1735647.167,1.380608722936949,3.462777777777778,2.9,1646.0
