year,division,inflation_rate_pct
1961,overall,-0.23980815347721673
1962,overall,0.0
1963,overall,3.3653846153846034
1964,overall,-0.46511627906977715
1965,overall,2.336448598130847
1966,overall,1.82648401826484
1967,overall,4.035874439461873
1968,overall,-0.4310344827586077
1969,overall,-0.43290043290044045
1970,overall,2.1739130434782705
1971,overall,1.7021276595744705
1972,overall,2.9288702928870425
1973,overall,9.756097560975597
1974,overall,17.037037037037052
1975,overall,5.063291139240511
1976,overall,2.409638554216853
1977,overall,4.705882352941182
1978,overall,4.494382022471921
1979,overall,3.4946236559139754
1980,overall,6.7532467532467555
1981,overall,9.97566909975669
1982,overall,5.530973451327426
1983,overall,3.98322851153039
1984,overall,3.427419354838701
1985,overall,0.5847953216374435
1986,overall,0.3875968992248069
1987,overall,0.7722007722007929
1988,overall,2.490421455938696
1989,overall,2.9906542056074903
1990,overall,3.085299455535373
1991,overall,4.401408450704225
1992,overall,4.553119730185506
1993,overall,3.548387096774208
1994,overall,3.89408099688473
1995,overall,3.2983508245877147
1996,overall,3.338171262699552
1997,overall,2.8089887640449396
1998,overall,5.191256830601088
1999,overall,2.857142857142869
2000,overall,1.7045454545454364
2001,overall,1.4069935857645488
2002,overall,1.7955519281779075
2003,overall,1.0924032872319245
2004,overall,1.4077525527907087
2005,overall,2.9719425163750035
2006,overall,3.6172030760467155
2007,overall,2.0432472054242368
2008,overall,5.423363562898431
2009,overall,0.5962013457116111
2010,overall,1.6171365676064697
2011,overall,3.182802866188972
2012,overall,1.6553617571059442
2013,overall,2.105012312336152
2014,overall,3.1429905087910326
2015,overall,2.1043898023834773
2016,overall,2.075792273029453
2017,overall,3.7993920972644313
2018,overall,0.9691138534476895
2019,overall,0.6628918657644034
2020,overall,-1.1387021539305708
2021,overall,2.477102414654442
2022,overall,3.3786986254993545
2023,overall,2.4888656012575394
2024,overall,1.8341002044989674
2025,overall,1.380608722936949
